Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Laos,-2.613,-2.6779,-2.5355,-2.0278,-2.1651,-2.17,-1.856,-0.948,-1.47,-0.746,-5.436,-9.765,-9.034,-11.222,-10.377,-9.499,-18.788,-24.401,-26.914,-22.769,-29.37,-33.372,-39.092,-37.04490519
Latvia,1.786,1.883,2.348,2.633,2.097,2.148,2.508,3.0,2.52,1.654,0.873,1.245,1.691,1.355,2.317,1.821,1.033,-0.0642,0.9089,1.1181,1.6257,1.7737,2.310522,0.8044089
Lebanon,1.397,1.263,0.532,0.0,0.216,0.455,0.929,0.972,0.561,1.155,1.245,0.84,0.323,0.522,0.136,0.268,0.069,0.534,0.011,0.0898,0.0,0.797,0.0,0.0
Lesotho,-0.0006,0.0168,-0.0193,-0.0023,0.0189,-0.0093,0.0288,0.0415,0.0462,0.1223,0.1955,0.2208,0.289,0.2828,0.2681,0.2562,0.37,0.3861,0.3938,0.5408,0.4418,0.4268,0.429639307,0.453991764
Libya,0.0,0.0,0.0,0.0,0.0,0.047,0.033,-0.027,-0.048,-0.029,-0.082,-0.065,0.047,0.063,0.088,0.0,0.376,0.302,0.465,0.7764,1.2588,0.784,0.719,0.8
Lithuania,-1.336,-3.964,-6.486,-7.53,-7.195,-2.966,-0.428,-1.372,-0.957,-2.932,5.99,6.739,6.619,6.946,7.623,7.208,8.275,8.6772,9.6325,9.3436,7.9085,9.0437,8.568,6.9297316
Luxembourg,5.722,5.646,3.438,3.704,3.374,3.261,3.557,3.96,4.346,3.418,4.0634,4.4819,4.1103,4.944,4.8938,5.5994,6.2987,6.1781,6.1613,5.8788,5.4649,5.7214,5.5068267,5.2023947
Macau,0.1,0.192,0.189,0.179,0.151,0.341,0.965,1.683,2.311,2.2267,2.7865,3.1648,3.8553,4.0586,4.0988,4.0545,4.3058,3.9515,4.911,4.9761,4.8526,5.1923,4.874,5.327
Malawi,-0.0033,-0.006,-0.0065,-0.0067,-0.0075,-0.01,-0.0109,-0.0169,-0.0199,-0.0163,-0.0207,-0.0191,-0.0211,-0.0238,-0.0236,-0.0219,-0.0244,-0.0204,-0.0193,-0.0199,-0.0189,-0.02,-0.02,-0.019938404
Malaysia,-0.024,-0.088,-0.028,-0.202,-0.523,-2.231,-2.32,-2.262,-0.477,-0.086,-0.151,0.36,0.093,0.188,0.011,0.01,-0.661,-1.1166,-1.4895,-1.6584,-1.554,-0.942,-1.377972388,-1.138321905
Mali,0.0,0.0,-0.1981,-0.4142,-0.362,-0.4005,-0.359,-0.263,-0.333,-0.2457,-0.398,0.257,-0.454,-0.098,-0.255,0.134,-0.355,-0.253,-0.134,0.048,0.151,0.157,0.272,0.218369767
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.054,1.527,0.8614,0.6208,0.6363,0.4156,0.5113,0.639,0.62
Mauritania,0.002,0.002,0.0041,0.0772,0.069,0.1335,0.125,0.0822,0.1038,0.1085,0.115,0.127,0.138,0.174,0.183,0.183,0.2212,0.185,0.1975,0.196,0.218,0.188,0.378,0.378
Mexico,0.874,0.056,0.202,-0.866,-1.274,-1.672,-0.776,-1.174,-1.101,-0.903,-0.951,-0.697,1.061,-0.03,-0.529,-0.67,0.264,0.347,1.247,0.823,4.01,-0.956,3.104,2.8931534
Moldova,1.785,2.127,2.242,3.452,2.937,3.141,3.512,2.931,2.958,1.464,0.025,0.666,0.846,1.456,0.731,0.018,0.004,1.134,0.956,0.644,0.167,0.161,0.842,1.17
Mongolia,0.156,0.178,0.151,0.164,0.163,0.164,0.221,0.198,0.182,0.1385,0.2409,0.2515,0.345,1.1775,1.3162,1.3658,1.4103,1.5483,1.6387,1.6987,1.6429,1.799,2.083,2.1995625
Morocco,2.328,1.541,1.372,1.417,1.535,0.814,2.027,3.507,4.261,4.623,3.94,4.607,4.842,5.4,6.01,4.973,5.154,5.897,3.374,-0.927,0.232,-0.163,1.397,1.849
Mozambique,-6.492,-5.57,-6.376,-2.28,-1.135,-2.413,-2.986,-3.779,-3.005,-4.36,-3.542,-2.933,-1.234,-0.654,-2.002,-3.3,-3.328,-1.721,-1.411,-2.495,-3.411,-2.963,-3.191,-3.196006256
Namibia,0.685,0.997,0.888,0.992,1.543,1.672,1.912,2.005,2.1,2.06,2.385,2.404,2.428,2.818,2.802,2.59,2.974,2.811,3.223,3.042,2.192,2.443,2.748,2.748
Nepal,0.101,0.095,-0.036,-0.056,0.13,0.169,0.252,0.365,0.31,0.564,0.663,0.742,0.786,1.316,1.367,1.775,2.172,2.579,2.778,1.622,2.768,1.05,0.487,0.746107056
Netherlands,18.915,17.283,16.382,16.992,16.217,18.293,21.459,17.574,15.851,4.891,2.775,9.089,17.1098,18.237,14.727,8.7481,4.9143,3.5062,7.9699,0.8553,-2.6595,0.253,-4.2664015,-5.6595308
Nicaragua,0.113,0.017,0.009,-0.009,0.001,0.017,0.0443,0.064,0.028,0.0,-0.033,-0.031,0.017,0.0358,-0.027,0.012,0.187,0.326,0.201,0.4342,1.0707,1.005,1.062,1.12504375
Niger,0.204,0.22,0.211,0.235,0.294,0.338,0.355,0.448,0.46,0.533,0.549,0.607,0.637,0.599,0.727,0.782,0.779,0.845,0.992,1.0566,1.1078,1.122,1.163,1.213375
Nigeria,-0.022,-0.025,-0.03,-0.04,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4
North Macedonia,0.112,0.431,0.791,0.953,1.176,1.599,1.795,2.491,2.733,1.438,1.42,2.676,2.669,2.429,2.96,2.513,2.031,1.983,1.9196,1.828,2.326,2.477,1.412,0.151
Norway,-19.055,3.571,-9.711,7.874,11.455,-12.042,0.854,-10.035,-13.863,-8.983,7.549,-3.075,-17.815,-5.006,-15.585,-14.645,-16.411,-15.165,-10.1492,0.044,-20.4722,-17.5838,-12.5330661,-17.746229
Pakistan,0.0,0.0,0.0,0.073,0.109,0.146,0.171,0.199,0.227,0.249,0.269,0.274,0.375,0.419,0.443,0.463,0.496,0.556,0.487,0.514,0.498,0.498,0.463,0.48125
Palestinian Territories,2.263,2.083,2.307,2.315,2.598,2.862,3.096,3.188,3.864,3.983,4.159,4.622,4.9093,4.7343,4.9353,5.4131,5.4733,5.5769,5.9158,6.2491,6.5191,6.678,6.7,6.92525
Panama,0.117,-0.075,-0.014,-0.177,-0.129,-0.051,-0.049,-0.1162,0.074,-0.0308,0.032,0.064,-0.04,0.004,0.095,-0.1219,-0.368,-0.3114,-0.3128,-0.3497,-0.4501,-0.439,-0.32219013,-0.170899537
Paraguay,-47.358,-39.137,-41.777,-45.18,-45.005,-43.79,-45.7144,-45.113,-46.2909,-45.042,-43.378,-46.12,-47.663,-47.364,-41.4,-41.127,-48.415,-43.635,-42.205,-31.748,-28.005,-21.719,-23.955,-24.20163094
Peru,0.0,0.0,0.0,0.0,0.0,-0.0008,0.0,0.0,0.0,-0.063,-0.112,0.006,0.003,0.0,-0.013,-0.0545,-0.016,0.0166,0.0212,0.0601,0.037,0.043,0.043,0.047696476
Poland,-6.373,-6.729,-7.068,-10.161,-9.293,-11.186,-10.986,-5.348,-0.669,-2.191,-1.354,-5.242,-2.84,-4.521,2.166,-0.334,1.999,2.287,5.6945,10.6229,13.267,0.8877,-1.677309,3.737075
Portugal,0.931,0.239,1.899,2.794,6.481,6.824,5.441,7.488,9.431,4.776,2.623,2.813,7.895,2.776,0.903,2.266,-5.085,-2.684,-2.6569,3.3992,1.4562,4.753,9.2526144,10.2332033
Romania,-0.67,-1.377,-2.854,-2.084,-1.166,-2.903,-4.273,-2.09,-4.248,-2.295,-2.274,-1.906,0.253,-2.016,-7.126,-6.728,-5.017,-2.8934,-2.544,1.5184,2.7923,2.198,1.224,-3.018
Russia,-14.055,-15.861,-12.943,-13.379,-7.621,-12.381,-15.812,-12.798,-17.633,-14.8571,-17.447,-22.553,-16.482,-13.676,-8.048,-11.658,-14.5,-10.596,-12.602,-18.431,-10.738,-21.339,-16.396,-15.80747359
Rwanda,0.093,0.121,0.128,0.118,0.114,0.087,0.062,0.078,0.083,0.059,0.077,0.073,0.088,0.094,0.085,0.08,0.0736,0.066,0.0898,0.0298,0.0226,0.022,0.022,0.023326037
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,-0.069,-0.0537,-0.048,-0.0503,-0.0507,-0.7192,-0.0348,-0.034,0.304,-0.368,-0.044,-0.044,-0.044
Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.253,0.257,0.29,0.308,0.318,0.333,0.36,0.3331,0.3218,0.3228,0.3555,0.315,0.486,0.486
Slovakia,-2.696,-3.678,-4.157,-2.255,-1.862,-3.265,-2.331,1.725,0.521,1.312,1.041,0.727,0.393,0.091,1.102,2.388,2.651,3.028,3.682,1.7,0.319,0.774,1.3738608,-3.4069935
Slovenia,-1.321,-1.772,-1.134,0.164,-0.756,-0.325,0.044,0.229,-1.599,-3.059,-2.12,-1.372,-1.039,-1.29,-2.743,-0.048,-1.176,-0.5157,-0.5022,-0.3185,-2.0031,-0.2704,1.4459159,-1.505786
South Africa,12.333,2.204,2.254,-2.069,-3.436,-2.343,-2.965,-3.148,-3.596,-1.757,-2.475,-3.074,-5.029,-4.501,-2.659,-1.55,-5.994,-6.633,-4.699,-5.173,-3.818,-3.568,-1.509,-1.791706003
Spain,4.441,3.45,5.329,1.263,-3.028,-1.343,-3.28,-5.751,-11.039,-8.104,-8.333,-6.091,-11.199,-6.751,-3.406,-0.133,7.667,9.169,11.102,6.8623,3.2796,0.8524,-19.8729162,-13.9645596
Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.32,0.443,0.129,0.439,0.891,0.804,0.207,0.727,0.933,0.882,0.882
Sweden,4.678,-7.29,5.356,12.83,-2.104,-7.392,6.04,1.316,-1.961,4.685,2.078,-7.233,-19.573,-10.002,-15.623,-22.6,-11.735,-18.992,-17.223,-26.161,-24.997,-25.568,-32.8871911,-28.8166316
Switzerland,-7.07,-10.444,-4.508,-3.112,-0.703,6.35,2.703,-2.062,-1.135,-2.157,0.52,2.587,-2.2,-2.396,-5.491,-1.035,3.923,5.55,-1.587,-6.26,-5.56,2.413,3.1388715,-6.394
Syria,0.0,0.0,0.0,-0.249,-0.549,-0.665,-0.782,0.405,-0.042,-0.072,-0.353,-0.29,0.0,-0.529,-0.138,-0.262,-0.067,-0.543,-0.543,-0.347,-0.317,-0.346,-0.361,-0.358722753
Tajikistan,1.333,1.349,0.786,0.008,0.356,0.25,0.609,0.102,0.876,0.057,0.146,-0.025,-0.661,-0.944,-1.293,-1.337,-1.325,-1.311,-2.386,-2.894,-1.491,-2.424,-2.546,-2.386500482
Tanzania,0.055,0.053,0.051,0.049,0.046,0.05,0.061,0.06,0.052,0.065,0.057,0.055,0.061,0.06,0.059,0.071,0.102,0.106,0.118,0.113,0.114,0.144,0.152,0.1576875
Thailand,2.8164,2.7143,2.6244,2.2673,3.1248,3.8708,4.5658,3.7437,1.8225,1.1546,5.9401,9.4391,8.6156,11.2924,10.1934,12.1477,18.3891,23.3214,25.5762,22.6647,26.933,31.3873,33.40983755,33.54889754
Togo,0.377,0.422,0.426,0.458,0.489,0.511,0.505,0.514,0.666,0.725,0.706,0.853,0.959,0.659,1.469,0.569,0.745,0.742,0.884,0.837,0.815,0.801,1.126,1.1
Tunisia,0.001,0.01,-0.059,-0.02,-0.028,-0.003,0.007,-0.008,-0.007,0.041,0.019,-0.03,-0.042,-0.056,-0.089,-0.097,-0.121,-0.033,-0.102,-0.159,-0.6,1.029,2.572,2.496
Turkiye,3.354,4.146,3.153,0.57,-0.681,-1.162,-1.663,-1.558,-0.333,-0.734,-0.774,0.911,2.873,6.202,5.257,3.941,4.878,-0.5754,-0.635,-0.5772,-0.5941,-1.8519,2.713622,3.8997669
