Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,614.0728,633.9929,668.258,710.336,746.9999,777.957,835.564,849.3555,879.3816,905.1688,954.521,1002.5798,1039.2633,1181.4188,1327.4073,1352.7352,1382.8857,1433.5269,1489.0739,1534.9214,1523.180805,1627.559656,1760.278946,1805.136606
Indonesia,97.926,101.53,108.1,112.85,120.068,127.228,133.012,142.123,149.3344,157.4021,169.395,182.3888,196.181,218.934,225.2011,264.4963,230.5691,261.499,265.7253,281.9953,292.13392,308.66208,376.02604,382.784
Iran,121.358,130.168,141.035,153.768,165.957,177.9273,192.4987,203.8055,214.4801,221.2976,232.8596,239.68,253.61,261.6147,273.675,280.762,288.234,306.733,307.991,325.7846,342.6916,354.919,365.611,375.7097246
Iraq,31.9,32.251,33.863,28.34,32.295,30.4,33.823,33.237,36.888,37.847,48.90764,53.902691,46.01815,58.895415,69.025026,70.632213,81.922143,93.573467,98.407606,115.214059,117.121052,120.453045,133.86351,150.290831
Ireland,23.52,24.469,24.652,24.662,25.011,25.434,26.901,28.153,29.714,27.735,28.0592,27.1538,27.0011,25.3292,25.5796,27.8542,29.9741,30.47,30.6335,30.4725,31.1315,30.5715388,31.9735602,31.3225958
Israel,42.661,43.951,45.5,47.041,47.279,48.602,50.558,53.792,56.782,54.74,58.559,59.599,63.003,61.313,60.849,64.226,67.0224,67.4333,69.0192,71.9525,71.7841,73.1425,74.380494,74.4042
Italy,266.284,268.209,273.458,279.137,291.674,292.904,303.973,304.885,310.181,285.748,295.783,298.2288,294.7792,285.2453,275.3426,279.1786,285.2047,291.4122,285.4116,288.9786,276.4388,282.7882,277.6452411,257.0316918
Jamaica,6.775,6.787,6.961,7.177,7.253,7.469,7.516,6.051,4.233,4.397,4.318,4.364,4.309,4.29,4.246,4.271,4.4891,4.3865,3.9622,4.6267,4.2808,4.3572,4.482022071,4.482022071
Japan,1016.067,998.307,1018.931,1012.893,1041.288,1049.268,1065.161,1108.611,1061.571,1044.388,1129.8044,1146.9613,1072.5026,1084.2757,1065.3424,1043.8446,1063.2028,1063.2195,1046.1942,1012.7483,994.4242885,1014.410526,996.0762449,944.5594994
Jordan,7.378,7.547,8.129,8.032,8.969,9.65,11.119,12.837,14.159,14.271,14.776,14.646,16.595,17.262,18.269,19.0583,19.678,20.7815,20.3748,20.5231,20.7036,21.359,22.562,22.562
Kazakhstan,51.56,55.269,58.242,63.78,66.861,67.837,71.576,76.54,80.253,78.642,82.567,86.508,92.749,103.03,95.2273,91.7889,94.577,103.0852,107.6124,106.891,110.9194,115.1122949,113.587,114.189
Kenya,4.31,4.807,5.139,5.473,6.1608,6.696,7.51,6.6662,6.1504,6.541,7.159,7.8195,8.1664,8.0717,9.1843,9.8109,9.6702,10.8294,11.2884,11.5563,11.686,12.377,12.969,12.789
Kiribati,0.0145,0.0151,0.0174,0.0177,0.0205,0.0233,0.0255,0.0255,0.0245,0.0242,0.0243,0.0245,0.0254,0.026,0.0268,0.0294,0.031,0.031,0.0313,0.0328,0.0322,0.0322,0.032388105,0.032388105
Kuwait,32.323,34.299,36.369,39.802,41.256,43.734,47.607,48.753,51.749,53.216,57.029,57.457,61.119,60.9882,65.149,68.299,70.1,68.8893,74.136,75.035,74.633,80.807,85.282,85.56244083
Kyrgyzstan,15.846,14.812,12.978,15.441,16.171,14.816,14.542,14.703,11.688,10.981,11.989,15.017,15.026,13.91,14.439,12.919,13.147,15.372,15.4398,14.961438,15.404002,15.138,13.82494224,13.73444028
Laos,3.645,3.667,3.572,3.15,2.998,3.51,3.6,3.37,3.72,3.37,8.365,12.839,12.9264,15.3564,15.126,16.1666,25.4974,31.066,34.411,31.233,39.968,44.894,51.031,52.295
Latvia,4.108,4.249,3.939,3.928,4.62,4.832,4.822,4.702,5.199,5.485,6.5287,5.9439,5.8481,5.632,4.4281,4.7438,5.5946,6.5735,6.7095,6.4248,5.7042,5.8252,4.9811268,6.3601572
Lebanon,9.95,9.951,11.552,12.928,11.439,11.721,11.329,10.567,12.447,12.982,15.71,16.299,16.463,18.803,17.962,18.64,19.404,21.2415,21.2829,21.5972,18.2565,10.3401,4.371,4.514
Lesotho,0.288,0.285,0.314,0.325,0.297,0.459,0.525,0.554,0.584,0.648,0.694,0.49,0.486,0.515,0.521,0.5332,0.5234,0.5403,0.5176,0.3937,0.4276,0.5328,0.481897325,0.481897325
Liberia,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,0.31,0.3021,0.3544,0.41,0.4232,0.4512,0.3822,0.39418178,0.39518178
Libya,15.496,16.111,17.531,18.943,20.202,22.317,24.754,26.234,28.666,30.373,32.564,26.005,34.282,37.921,37.731,37.511,31.42,33.282,34.1715,34.6288,29.4992,34.786,35.106,35.107
Lithuania,10.483,13.58,16.292,17.655,17.626,13.2742,11.008,12.271,12.115,13.27,4.472,3.793,4.1113,3.7648,3.207,3.7373,3.1965,3.1239,2.5398,2.9193,4.221,3.6408,3.560173,4.8917821
Luxembourg,0.146,0.601,2.51,2.476,3.074,3.024,3.194,2.88,2.398,2.852,2.6892,2.1978,2.2918,1.4157,1.4656,0.8106,0.2503,0.3978,0.4794,0.7041,0.8194,0.8498,0.8574515,0.8095706
Macau,1.571,1.566,1.701,1.796,1.973,2.027,1.669,1.52,1.211,1.466,1.077,0.886,0.561,0.413,0.641,0.95,0.9875,1.4653,0.6529,0.8298,0.5622,0.4955,0.493189903,0.493189903
Madagascar,0.853,0.8754,0.8555,0.9675,1.0594,1.0596,1.0745,1.1224,1.1845,1.1927,1.3121,1.473,1.5587,1.6485,1.7118,1.7794,1.8983,1.9815,2.3708,2.4694,2.1575,2.5225,2.64547,2.64547
Malawi,1.216,1.2206,1.2763,1.3081,1.4662,1.5264,1.5645,1.5806,1.703,1.669,1.917,1.975,2.047,2.0533,2.1637,2.1634,2.1515,1.916,1.816,1.806,1.754,1.834,1.837039952,1.837039952
Malaysia,69.136,71.32,74.143,78.37,94.6785,99.4358,106.3004,104.3722,107.1327,107.3857,116.9693,124.827,134.323,139.417,147.478,151.568,156.799,164.3779,170.226,178.3546,174.132,179.977,189.0348277,192.9787
