Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Greece,49.118,50.041,50.26,51.872,52.756,52.921,52.475,58.092,57.143,52.89,46.716,47.5754,46.6316,39.8644,35.5441,34.6305,37.3177,39.2834,35.3106,30.5582,29.497,31.9789,29.3713428,23.1844328
Greenland,0.1248,0.1243,0.1273,0.1278,0.1376,0.1426,0.1498,0.1576,0.1656,0.1518,0.1162,0.1111,0.1119,0.0921,0.0892,0.0923,0.0844,0.1247,0.105,0.077,0.089,0.081,0.074,0.074
Grenada,0.1307,0.1425,0.149,0.1592,0.1359,0.1473,0.1672,0.1756,0.1888,0.203,0.2087,0.2038,0.1996,0.1965,0.2004,0.2068,0.2184,0.2265,0.2309,0.2393,0.2227,0.231,0.235253333,0.235253333
Guadeloupe,1.1196,1.1827,1.2064,1.2565,1.2886,1.2949,1.3377,1.3918,1.395,1.4449,1.5814,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
Guam,1.9414,1.9477,1.7198,1.7774,1.8778,1.8972,1.8912,1.8794,1.8782,1.8679,1.8724,1.84,1.784,1.7364,1.7032,1.6805,1.6677,1.7079,1.6626,1.6715,1.6309,1.6597,1.662744832,1.662744832
Guatemala,3.2187,3.7871,4.0217,3.5372,3.1443,3.0489,3.6633,4.2801,3.9048,4.8293,3.2134,3.265,3.117,3.2834,3.365,4.3422,4.5319,3.8745,4.4936,4.592,3.01,4.1114,2.069049607,3.426
Guinea,0.402,0.412,0.42,0.463,0.348,0.297,0.269,0.251,0.294,0.279,0.1468,0.1399,0.2441,0.1719,0.2867,0.2376,0.5117,0.5409,0.7323,0.7398,0.97,0.977,1.02291916,1.02291916
Guinea-Bissau,0.0251,0.0249,0.0236,0.0217,0.0283,0.0262,0.0279,0.0297,0.0298,0.0309,0.032,0.0323,0.0292,0.023,0.0284,0.0581,0.0785,0.0788,0.0797,0.0805,0.08,0.08,0.082800044,0.082800044
Guyana,0.8887,0.9119,0.9085,0.8123,0.8489,0.6399,0.6547,0.6909,0.7045,0.8212,0.862,0.904,0.9248,0.9389,0.9572,0.9727,1.0574,1.0839,1.1125,1.1119,1.1159,1.108,1.244,1.244
Haiti,0.264,0.311,0.287,0.28,0.287,0.291,0.299,0.314,0.305,0.514,0.514,0.866,0.879,0.914,0.943,0.955,1.013,0.9278,0.8478,0.8866,0.882,0.896,0.824,0.824
Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Honduras,1.391,1.971,2.465,2.759,3.403,3.702,3.77,3.934,4.014,3.608,3.705,4.029,4.196,4.583,4.924,5.04,4.829,4.005,3.6064,5.0214,4.6043,4.2887,4.566310743,4.5
Hong Kong,31.2606,32.3577,34.2293,35.4242,37.0438,38.3837,38.5434,38.8897,37.9228,38.6232,38.1865,38.9288,38.4866,38.9691,39.6988,37.7898,37.9856,36.7879,36.4091,36.783,34.1611,35.9593,35.766,37.27373037
Hungary,20.713,21.976,21.938,22.763,20.831,19.98,20.773,23.254,22.736,17.47,18.438,17.1116,15.7616,11.4919,9.8963,10.6398,11.8626,12.7994,11.9613,12.7743,12.8099,12.6936,11.830032,9.8563819
Iceland,0.005,0.004,0.006,0.006,0.004,0.005,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.005,0.003,0.004,0.003,0.0021,0.0019,0.0027,0.0031,0.0025,0.002943,0.0041463
India,523.3278,538.8049,571.0248,606.335,632.5499,643.1498,684.2689,700.0616,726.4376,745.0188,781.9,797.818,841.7148,951.5862,1092.0389,1124.8854,1132.1915,1158.7724,1183.611,1185.3661,1170.033605,1244.571456,1338.820928,1362.71871
Indonesia,83.085,83.852,91.915,97.439,103.722,109.893,116.713,123.848,129.472,136.643,142.472,160.057,173.494,191.5215,198.5693,239.291,198.165,229.0999,216.276,232.372,237.13392,249.97148,308.28004,313.745
Iran,117.696,125.108,133.001,142.754,155.389,161.9173,174.2907,185.8555,209.3311,213.9096,223.2556,227.406,239.729,242.888,255.85,263.379,265.775,285.05,285.204,287.521,313.464,338.015,345.412,355.3765506
Iraq,31.289,31.633,33.346,27.907,31.802,24.4,27.727,27.501,33.403,34.62,44.141,50.506,41.626,54.092628,66.037229,68.029076,78.493909,91.340384,96.532904,110.193795,112.582424,116.730264,130.835854,148.530832
Ireland,22.488,23.605,23.461,23.723,23.821,23.753,24.641,25.555,26.32,23.849,24.448,21.741,21.837,19.883,19.347,20.166,22.635,21.6307,20.3958,18.6214,17.5961,18.8623388,18.7355743,17.4393996
Israel,42.63,43.931,45.468,46.998,47.24,48.563,50.533,53.768,56.75,54.641,58.389,59.298,62.519,60.751,59.892,63.012,65.318,65.7419,67.137,69.0463,67.9181,68.2675,68.580494,66.593
Italy,217.762,215.971,227.646,237.404,239.54,245.805,254.392,257.79,252.749,216.705,218.886,214.572,202.058,172.85,154.324,169.632,176.682,186.9722,170.5224,173.0929,158.7693,169.37,178.0280112,143.9860631
Jamaica,6.456,6.558,6.806,6.998,7.017,7.197,7.223,5.755,3.975,4.074,3.988,3.985,3.873,3.894,3.836,3.838,3.9381,3.8675,3.381,4.0432,3.687,3.769,3.902,3.902
Japan,615.924,603.394,647.504,678.935,666.749,676.969,669.788,750.391,722.973,680.16,740.333,877.972,947.3714,954.1108,931.4428,889.5669,886.678,855.6269,812.7759,752.8721,740.5839495,726.8728255,710.9709071,621.2474104
Jordan,7.336,7.496,8.069,7.982,8.908,9.586,11.06,12.764,14.086,14.203,14.704,14.581,16.526,17.199,18.204,18.8283,18.813,19.3825,18.2141,17.5657,16.7813,16.45,17.344,17.344
Kazakhstan,44.104,47.269,49.441,55.241,58.885,60.06,63.885,68.45,72.867,71.831,74.624,78.703,85.177,95.349,86.936,82.36,82.657,91.485,96.363,95.3433,98.7031,102.491,100.13,100.13
Kenya,2.569,1.948,1.1983,0.9923,1.8191,2.2293,2.7853,1.7255,1.6827,2.5803,1.8263,2.4148,1.8387,1.751,2.1686,1.0039,1.0412,2.0674,1.546,1.313,0.754,1.262,1.584,1.305
Kiribati,0.0145,0.0151,0.0174,0.0177,0.0205,0.0229,0.0251,0.0251,0.024,0.0237,0.0236,0.0238,0.0246,0.0252,0.0255,0.0255,0.0262,0.0262,0.0265,0.0268,0.0262,0.0262,0.026388105,0.026388105
Kosovo,--,--,--,--,--,--,--,--,5.086,4.856,5.011,5.696,5.847,6.382,5.285,5.979,5.736,5.7382,5.6108,6.0366,6.3477,6.4516,6.346425,5.548
Kuwait,32.323,34.299,36.369,39.802,41.256,43.734,47.607,48.753,51.749,53.216,57.029,57.457,61.119,60.982,65.14,68.288,70.085,68.8513,74.045,74.94,74.544,80.593,83.381,83.6550507
Kyrgyzstan,2.3,2.506,2.299,2.06,2.218,2.156,2.195,2.094,1.665,0.866,0.992,1.019,0.989,0.914,1.274,1.93,1.768,1.311,1.265,1.255838,1.425002,2.181,1.921942235,1.969942235
Laos,0.368,0.37,0.36,0.318,0,0,0,0,0,0,0,0,0,0,0,2.259,7.962,10.927,12.019,11.406,11.355,11.882,12.18,12.18
Latvia,1.313,1.441,1.49,1.637,1.493,1.492,2.105,1.943,2.062,2.013,2.992,3.017,2.058,2.675,2.337,2.757,2.945,2.0695,3.2263,3.2463,2.0753,2.128,1.214014,1.424
Lebanon,9.505,9.621,10.881,11.579,10.33,10.685,10.641,9.988,12.078,12.366,14.878,15.501,15.464,17.54,17.758,18.143,18.983,20.7686,20.8144,20.4732,17.0229,9.3841,2.376,2.376
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0006,0.0006,0.0007,0.0006,0.0006,0.000603992,0.000603992
Liberia,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,0.31,0.3021,0.3514,0.277,0.2902,0.3182,0.2492,0.26118178,0.26118178
Libya,15.496,16.111,17.531,18.943,20.202,22.317,24.754,26.234,28.666,30.373,32.558,25.999,34.275,37.913,37.723,37.503,31.412,33.274,34.1635,34.6208,29.4912,34.777,35.097,35.097
Lithuania,2.271,2.604,2.656,2.845,3.052,3.418,2.794,2.825,2.593,2.836,3.833,2.877,3.119,2.425,1.911,2.254,1.207,0.7367,0.4617,0.5915,1.8213,1.3161,0.8547352,0.799
Luxembourg,0.215,0.666,2.624,2.62,3.153,3.107,3.248,2.896,2.403,2.843,2.917,2.342,2.389,1.421,1.451,0.838,0.258,0.2212,0.1955,0.1917,0.184,0.173,0.099,0.085
Macau,1.571,1.5084,1.629,1.6466,1.82,1.868,1.504,1.349,1.034,1.2848,0.879,0.676,0.333,0.17,0.38,0.753,0.787,1.26,0.474,0.613,0.3732,0.2869,0.288525,0.288525
Madagascar,0.306,0.3394,0.3125,0.3545,0.4144,0.4076,0.4315,0.3994,0.4805,0.4467,0.5906,0.7704,0.7887,0.8211,0.8071,0.8193,0.9774,1.1512,1.35,1.517,1.275,1.69,1.714,1.714
Malawi,0.124,0.1066,0.1153,0.1001,0.1402,0.1604,0.1665,0.1516,0.117,0.122,0.123,0.124,0.131,0.131,0.119,0.1308,0.1328,0.002,0.332,0.071,0.014,0.076,0.076607972,0.076607972
